SECUENCIA;PAIS;DEPARTAMENTO;MUNICIPIO;EMPRESA;AREA ENCARGADA;COORDINACION;TIPO_PQRS;TIPO_ACTIVIDAD;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
240;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;SOLICITUD RECOLECCION CLANDESTINO;2022;0;1;0;0;0;0;3;0;5;1;0;1;11
241;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;SOLICITUD RECOLECCION ORDINARIA;2022;0;0;1;0;0;1;0;0;0;0;0;0;2
242;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;SOLICITUD RECOLECCION R. H.;2022;1;0;0;0;0;0;0;0;0;0;0;0;1
243;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;SOLICITUD RECOLECCION SERVICIO ESPECIAL;2022;28;23;21;20;20;27;36;29;26;23;35;25;313
244;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;APROVECHAMIENTO;2022;0;0;1;0;0;0;0;0;0;0;0;1;2
245;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;DAÑO CONTENEDOR AL MOMENTO DE RECOGER;2022;0;0;0;0;0;0;0;0;0;0;0;1;1
246;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;DERRAME DE LIXIVIADO;2022;0;0;0;0;1;0;0;0;0;0;0;0;1
247;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;EL VEHICULO PASO Y NO RECOGIO LA BASURA;2022;0;0;0;0;0;1;0;0;0;0;0;0;1
248;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;FUNCIONARIO AREA OPERATIVA;2022;0;0;1;0;1;1;1;0;0;0;1;0;5
249;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;GENERACION DE RUIDO BARRIDO CON BLOWER;2022;0;0;1;0;2;0;1;0;0;0;0;0;4
250;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;INCUMPLIMIENTO FREC RECOLECCION ORDINARI;2022;0;0;0;0;0;0;0;0;0;0;0;1;1
251;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;INCUMPLIMIENTO FRECUENCIA DE BARRIDO;2022;1;1;1;3;7;3;2;3;0;1;2;3;27
252;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;MAL BARRIDO MANUAL (ESCOBITAS);2022;2;3;0;2;1;2;0;1;1;0;0;1;13
253;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;MAL BARRIDO MECANICO;2022;0;0;2;0;2;3;0;1;1;0;2;1;12
254;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;NO HAN RECOGIDO BOLSAS DE BARRIDO;2022;0;0;0;0;0;0;0;1;0;0;0;1;2
255;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;RETRASO DEL VEHICULO RECOLECTOR;2022;0;1;0;0;0;0;0;0;0;0;0;0;1
256;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;AFORO EXTRAORDINARIO;2022;0;0;1;9;0;2;1;3;0;3;2;0;21
257;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;CAMBIO DE FACTURA LOCAL DESOCUPADO;2022;8;5;7;8;7;9;7;7;4;4;6;2;74
258;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;CAMBIO DE FACTURA POR RESULTADO DE AFORO;2022;1;1;1;0;0;1;1;0;0;0;0;0;5
259;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;CAMBIO DE FACTURA SERVICIO ESPECIAL EPM;2022;1;1;3;0;1;1;2;1;3;1;0;0;14
260;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;CAMBIO O DEVOLUCION DE FACTURA  ALTERADA;2022;0;1;0;2;1;1;1;0;0;0;2;0;8
261;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR AREAS COMUNES;2022;0;0;1;2;0;1;2;0;1;1;0;0;8
262;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR COBRO DE MAS DEL SER. ESP;2022;0;1;0;0;0;0;1;0;0;0;0;0;2
263;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR COBRO NO AUTORIZADO;2022;0;0;0;1;0;0;0;0;1;3;0;0;5
264;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR DOBLE COBRO;2022;0;0;2;1;1;1;1;0;1;0;0;0;7
265;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR LOCAL DESOCUPADO;2022;0;0;0;1;2;1;0;0;0;0;0;0;4
266;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR RESULTADO DE AFORO;2022;1;0;0;0;0;0;0;0;0;0;0;0;1
267;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;NOTAS CREDITOS Y DEBITOS;2022;8;10;7;13;12;13;10;6;15;29;14;10;147
268;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;RECLAMACION POR RECATEGORIZACION;2022;7;9;13;9;20;9;6;14;10;12;4;2;115
269;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;RECLAMO POR RETIRO DE CONTADOR;2022;0;0;0;0;0;0;0;1;0;0;0;0;1
270;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;VERIFICAR COBRO EN LA FACTURA;2022;7;4;1;5;0;2;1;1;2;0;2;0;25
271;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;AFORO EXTRAORDINARIO MULTIUSUARIO;2023;0;0;0;0;0;0;0;1;0;0;0;0;1
272;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;AFORO MULTIUSUARIO;2023;494;457;475;382;444;419;402;419;359;400;428;0;4,679
273;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;AFORO SERVICIO ESPECIAL;2023;0;1;0;1;0;1;1;2;0;0;1;340;347
274;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;ATENDER EVENTO O CABALGATA;2023;6;9;13;5;10;7;11;7;8;2;4;0;82
275;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;CAMPAÑA EDUCATIVA;2023;0;0;0;0;0;0;0;0;0;0;0;3;3
276;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;COTIZAR EVENTO ESPECIAL;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
277;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;DERECHO DE PETICION;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
278;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;DEVOLUCION DE CONTENEDORES;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
279;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;FACTURACION ASESORIAS AMBIENTALES;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
280;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;LUMINARIA APAGADA;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
281;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;MANTENIMIENTO DE CAJAS ESTACIONARIAS;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
282;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;MANTENIMIENTO DE CONTENEDORES;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
283;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;MANTENIMIENTO DE ZONAS VERDES;2023;2;1;2;0;1;1;2;1;0;1;1;0;12
284;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;NOVEDADES IDENTIFICADAS POR ENVIASEO;2023;0;0;0;0;0;0;0;0;0;0;0;1;1
285;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;NOVEDADES IDENTIFICADAS POR ENVIASEO;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
286;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;RETIRO CANASTILLA O CONTENEDOR;2023;0;0;0;0;0;0;0;0;3;0;0;0;3
287;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;RETIRO CANASTILLA O CONTENEDOR;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
288;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;RETIRO DE RUTA HOSPITALARIA;2023;2;0;0;1;0;0;0;0;0;0;0;0;3
289;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;RETIRO DE RUTA HOSPITALARIA;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
290;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;RETIRO DEL SERVICIO ORDINARIO O ESPECIAL;2023;0;0;0;0;0;0;0;0;0;0;0;0;0
291;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;SERVICIO ESPECIAL RUTA HOSPITALARIA;2023;65;41;48;47;69;58;36;46;51;56;43;46;606
292;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;SOLICITUD INFORMACIÓN;2023;65;41;48;47;69;58;36;46;51;56;43;5;565
293;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;SOLICITUD RECOLECCIÓN CLANDESTINA;2023;65;41;48;47;69;58;36;46;51;56;43;1;561
294;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;PETICIONES;SOLICITUD RECOLECCIÓN SERVICO ESPECIAL;2023;65;41;48;47;69;58;36;46;51;56;43;14;574
295;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;APROVECHAMIENTO;2023;0;0;0;0;1;0;0;0;0;0;0;0;1
296;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;FUNCIONARIO AREA OPERATIVA;2023;1;0;1;0;1;1;0;0;1;0;0;0;5
297;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;GENERACION DE RUIDO BARRIDO CON BLOWER;2023;1;0;0;0;0;0;0;0;0;0;0;0;1
298;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;INCUMPLIMIENTO FREC RECOLECCION ORDINARI;2023;0;0;0;0;1;0;0;0;0;0;0;0;1
299;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;INCUMPLIMIENTO FRECUENCIA DE BARRIDO;2023;5;2;2;3;5;7;6;0;2;0;4;3;39
300;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;EL VEI¿HICULO PASÓ Y N ORECOGIO LA BASURA;2023;5;2;2;3;5;7;6;0;2;0;4;1;37
301;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;MAL BARRIDO MANUAL (ESCOBITAS);2023;0;2;1;1;2;1;1;1;0;1;0;2;12
302;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;MAL BARRIDO MECANICO;2023;1;1;1;2;5;0;0;1;0;0;2;0;13
303;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;MAL MANTENIMIENTO DE ZONAS VERDES;2023;0;0;0;0;0;0;1;0;0;0;0;0;1
304;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;NO HAN RECOGIDO BOLSAS DE BARRIDO;2023;0;0;0;0;0;1;0;0;0;0;1;0;2
305;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;RECOLECCIÓN DE RECICLAJE;2023;0;0;1;0;0;0;0;0;0;0;0;0;1
306;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;QUEJAS;RETRASO DEL VEHICULO RECOLECTOR;2023;0;0;0;1;0;0;0;0;0;0;0;0;1
307;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;AFORO EXTRAORDINARIO;2023;1;1;0;0;4;3;2;0;1;0;0;0;12
308;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;CAMBIO DE FACTURA LOCAL DESOCUPADO;2023;8;5;13;4;13;13;6;12;1;4;3;2;84
309;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;CAMBIO DE FACTURA POR DOBLE COBRO;2023;0;0;0;2;0;1;0;0;0;0;0;0;3
310;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;CAMBIO DE FACTURA POR RESULTADO DE AFORO;2023;0;1;0;0;0;2;2;0;0;1;0;1;7
311;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;CAMBIO DE FACTURA SERVICIO ESPECIAL EPM;2023;1;3;0;1;1;0;0;3;1;1;2;1;14
312;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;CAMBIO O DEVOLUCION DE FACTURA  ALTERADA;2023;0;0;0;0;4;3;4;2;0;1;2;2;18
313;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR AREAS COMUNES;2023;2;0;0;0;0;1;0;0;0;0;0;0;3
314;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR COBRO DE MAS DEL SER. ESP;2023;0;0;0;0;0;1;0;0;0;1;0;0;2
315;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR COBRO NO AUTORIZADO;2023;0;0;0;0;0;0;2;1;0;0;1;0;4
316;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR DOBLE COBRO;2023;0;1;0;0;0;0;0;1;0;0;0;0;2
317;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;DEVOLUCION POR LOCAL DESOCUPADO;2023;0;0;0;1;0;0;3;1;0;0;0;0;5
318;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;NOTAS CREDITOS Y DEBITOS;2023;7;9;13;5;8;9;28;12;12;7;7;8;125
319;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;RECLAMACION POR RECATEGORIZACION;2023;8;5;7;15;14;17;7;10;14;10;7;3;117
320;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;RECLAMO POR RETIRO DE CONTADOR;2023;0;0;0;3;3;1;0;1;0;0;0;0;8
321;COLOMBIA;ANTIOQUIA;ENVIGADO;ENVIASEO E.S.P;DIRECCIÓN COMERCIAL;COORDINACIÓN CARTERA Y PQRSD;RECLAMOS;VERIFICAR COBRO EN LA FACTURA;2023;0;1;0;0;2;1;2;0;1;0;2;0;9
